FUND_CODE	SHORT_NAME	LONG_NAME	CLASS	CODE_AND_NAME	MH_FLAG	COMMENTS	AKSAS_ACCT_ALT	ACTIVE	STAT_REF	AKSAS_FUNDS	CREATE_BY	CREATE_TIME	CHANGE_BY	CHANGE_TIME	RETAINS_INTEREST
1255	Invest	Securities Investor Education and Training Fund	D	1255 Securities Investor Education and Training Fund	N		61405	Y	AS 45.56.625		BWFECHTER	23:41.2	WCBELKNAP	05:24.9	N
1256	Ed Endow	Education Endowment Fund	O	1256 Education Endowment Fund	N	Created by HB213 SLA2018. Allows 25% of the proceeds from money donated under the PFD raffle program plus earnings to be appropriated to this fund.	61405	Y	AS 43.23.063		JRSTERN1	31:13.6	BWFECHTER	12:21.0	N
1257	Div Raffle	Dividend Raffle Fund	O	1257 Dividend Raffle Fund	N	Dividend Raffle fund no appropriations out	61405	Y			JRSTERN1	33:36.2	WCBELKNAP	05:04.1	N
1261	Shared Tax	Shared Taxes	D	1261 Shared Taxes	N	Tracking code for shared taxes appropriations created by LFD 3/29/2019	61405	Y			NASTEININGER	47:04.0	NASTEININGER	48:10.9	N
1262	StatPFRoy	Non-mandatory Royalty Deposits to the Permanent Fund	D	1262 Non-mandatory Royalty Deposits to the Permanent Fund	N		61405	Y			SRWILLHOITE	31:01.5	BWFECHTER	53:08.8	Y
1251	Non-UGF	Non-UGF (Leg Fiscal Note System Only)	O	1251 Non-UGF (Leg Fiscal Note System Only)	N	"Created for import of fiscal note data into change records, not to be used outside of that."	61405	Y			WCBELKNAP	43:11.9	WCBELKNAP	44:07.1	N
1252	DGF Temp	DGF Temp (Leg Fiscal Note System)	D	1252 DGF Temp (Leg Fiscal Note System)	N	Added to import Leg Finance fiscal note system data. wcb 3/10/20	61405	Y			WCBELKNAP	52:34.2	WCBELKNAP	52:49.6	N
1264	MET Alt	MET Alt	D	1264 MET Alt	N	Added during FY21 CC import from Legfin wcb	61405	Y			WCBELKNAP	34:18.0	WCBELKNAP	37:16.1	N
1265	COVID Fed	Non-specific COVID Fed	F	1265 Non-specific COVID Fed	N		61405	Y			WCBELKNAP	48:50.3	SRWILLHOITE	02:19.4	N
1268	MH Tr Res	Mental Health Trust Reserve	D	1268 Mental Health Trust Reserve	Y	Added 11/30/2020	61405	Y			SRWILLHOITE	21:50.6	SRWILLHOITE	41:52.8	N
1267	FTA CRRSAA	FTA CRRSAA Grant Funding	F	1267 FTA CRRSAA Grant Funding	N		61405	Y			SRWILLHOITE	01:03.2	SRWILLHOITE	01:27.5	N
1269	CSLFRF	CSLFRF (Fed) Flexible ARP Funding	F	1269 CSLFRF (Fed) Flexible ARP Funding	N		61405	Y			SRWILLHOITE	07:00.1	SRWILLHOITE	02:42.0	N
1266	COVID UGF	COVID UGF	U	1266 COVID UGF	N		61405	Y			SRWILLHOITE	08:53.3	SRWILLHOITE	09:12.9	N
1270	FHWA CRRSA	FHWA CRRSAA Fed	F	1270 FHWA CRRSAA Fed	N		61405	Y			JQUARSTAD	24:02.5	JQUARSTAD	34:07.6	N
1271	ARPA Rev R	ARPA Revenue Replacement UGF	U	1271 ARPA Revenue Replacement UGF	N	Only in ABS - not setup in IRIS	61405	Y			SRWILLHOITE	18:01.6	SRWILLHOITE	19:03.4	N
1246	Recid Redu	Recidivism Reduction Fund	D	1246 Recidivism Reduction Fund	Y	flagged as MH. This fund is similar to the Alcohol fund (1180). AS 43.61.010 - Marijuana Tax Cultivators. 50% to Recidivism Reduction Fund	68515	Y			KEMAUSETH	26:14.2	WCBELKNAP	49:37.1	N
1247	Med Recov	Medicaid Monetary Recoveries	D	1247 Medicaid Monetary Recoveries	N	SB 74 SLA16. See FN 63. Not used - inactivated 8/19/2021	68515	Y	47.05.200		KEMAUSETH	30:48.7	SRWILLHOITE	30:31.5	N
1248	ACHI Fund	Alaska Comprehensive Health Insurance Fund	D	1248 Alaska Comprehensive Health Insurance Fund	N	Added per HB 374. SLA2016	68515	Y	AS 21.55.430		KEMAUSETH	47:34.9	WCBELKNAP	25:48.9	N
1000	Restrtd GF	Restricted General Fund	D	1000 Restricted General Fund	N		68515	N		11100		06:59.2	KEMAUSETH	03:37.8	N
1002	Fed Rcpts	Federal Receipts	F	1002 Federal Receipts	N		51010	Y				06:59.2			N
1003	G/F Match	General Fund Match	U	1003 General Fund Match	N		51005	Y				06:59.2			N
1004	Gen Fund	General Fund Receipts	U	1004 General Fund Receipts	N		51005	Y		11100		06:59.2	WCBELKNAP	02:18.8	N
1005	GF/Prgm	General Fund/Program Receipts	D	1005 General Fund/Program Receipts	N		51060	Y				06:59.2	SHILDEBRAND	21:47.7	N
1007	I/A Rcpts	Interagency Receipts	O	1007 Interagency Receipts	N		51015	Y				06:59.2	WCBELKNAP	20:18.0	N
1010	UA/INT INC	University of Alaska Interest Income	D	1010 University of Alaska Interest Income	N		51030	N				06:59.2	CKOSULLIVAN	59:04.0	N
1012	Rail Enrgy	Railbelt Energy Fund	U	1012 Railbelt Energy Fund	N		68515	Y	37.05.520	11123		06:59.2	BALARSON	42:13.2	N
1013	Alchl/Drug	Alcoholism & Drug Abuse Revolving Loan	F	1013 Alcoholism & Drug Abuse Revolving Loan	N		68515	Y	44.29.210	21642		06:59.2	BALARSON	42:32.7	N
1014	Donat Comm	Donated Commodity/Handling Fee Account	F	1014 Donated Commodity/Handling Fee Account	N		68515	Y		11120		06:59.2	BALARSON	30:17.6	N
1015	UA/DFA SVC	U/A Dormitory/Food/Auxiliary Service	D	1015 U/A Dormitory/Food/Auxiliary Service	N		51290	N				06:59.2	CKOSULLIVAN	01:38.7	N
1016	Fed Incent	CSSD Federal Incentive Payments	F	1016 CSSD Federal Incentive Payments	N		51378	Y				06:59.2			N
1019	Reforest	Reforestation Fund	O	1019 Reforestation Fund	N	LFD has classified as Other instead of DGF 1/2017. KM	68515	N	41.17.300	12130		06:59.2	KEMAUSETH	13:48.3	N
1021	Agric Loan	Agricultural Loan Fund	D	1021 Agricultural Loan Fund	N		68515	Y	03.10.040	21606		06:59.2	BALARSON	43:46.5	N
1024	Fish/Game	Fish and Game Fund	O	1024 Fish and Game Fund	N	"Fish and Game AKSAS fund 12124 used for Sport Fish/Wildlife and 12147 Civil Fines and Penalties used for Comm Fish. F&G has requested a separate fund code for Civil Fines and Penalties in Nov13 and May14. Discussing with DLF 5-13-14 cko.
"	51045	Y	16.05.100	12124/12147                   		06:59.2	CKOSULLIVAN	41:01.6	N
1026	Hwy Capitl	Highways/Equipment Working Capital Fund	O	1026 Highways/Equipment Working Capital Fund	N		68515	Y	44.68.210	22652		06:59.2	BALARSON	45:57.1	N
1027	Int Airprt	International Airport Revenue Fund	O	1027 International Airport Revenue Fund	N		68515	Y	37.15.430	21600		06:59.2	BALARSON	46:11.3	N
1031	Sec Injury	Second Injury Fund Reserve Account	D	1031 Second Injury Fund Reserve Account	N		68515	Y	23.30.040	11117		06:59.2	BALARSON	47:21.8	N
1034	Teach Ret	Teachers Retirement System Fund	O	1034 Teachers Retirement System Fund	N		68515	Y	14.25.010	35020		06:59.2	BALARSON	51:22.2	N
1036	Cm Fish Ln	Commercial Fishing Loan Fund	D	1036 Commercial Fishing Loan Fund	N		68515	Y	16.10.340	21608		06:59.2	BALARSON	21:47.7	N
1195	SnoMachReg	Snow Machine Registration Receipts	D	1195 Snow Machine Registration Receipts	N	"Changed name from Special Vehicle Registration Receipts to Snow Machine Registration Receipts per LFD change. 10/25/2016 KM
Revenues from DMV's boat registration receipts until FY2011 - when assigned it own code of 1216."	51073	Y	28.39.010-250			06:59.2	KEMAUSETH	17:38.9	N
1037	GF/MH	General Fund / Mental Health	U	1037 General Fund / Mental Health	Y	previously Children's Trust Fund - O Fund Group - never used. AKSAS fund #34042	68520	Y				06:59.2			N
1038	UA/STF SVC	U/A Student Tuition/Fees/Services	D	1038 U/A Student Tuition/Fees/Services	N		51110	N				06:59.2	CKOSULLIVAN	12:17.0	N
1039	UA/ICR	U/A Indirect Cost Recovery	D	1039 U/A Indirect Cost Recovery	N		51024	Y				06:59.2	CKOSULLIVAN	15:59.5	N
1040	Surety Fnd	Real Estate Surety Fund	D	1040 Real Estate Surety Fund	N	Changed from Other to DGF to match LFD. Kym	68515	Y	08.88.450	11121		06:59.2	KEMAUSETH	33:24.1	N
1192	Mine Trust	Mine Reclamation Trust Fund	O	1192 Mine Reclamation Trust Fund	N	"added per ch. 137, SLA 2004 (Governor bill)"	68515	Y	37.14.800	12140		06:59.2	BALARSON	10:59.6	N
1042	Jud Retire	Judicial Retirement System	O	1042 Judicial Retirement System	N		68515	Y	22.25.048	35025		06:59.2	BALARSON	29:28.0	N
1044	Debt Ret	AK Debt Retirement Fund	O	1044 AK Debt Retirement Fund	N	"SLA1991, Ch87, Sec2"	68515	Y	37.15.011	11138		06:59.2	BALARSON	30:32.3	N
1046	Stdnt Loan	Student Revolving Loan Fund	O	1046 Student Revolving Loan Fund	N	5/2012 DOF said this was not an active fund. DOR fund source to be changed in FY16 to 1106. This is now inactive in both OMB and DLF budget systems - cko 10-20-14.	68515	Y				06:59.2	BALARSON	53:09.5	N
1048	Univ Rcpt	University Restricted Receipts	D	1048 University Restricted Receipts	N		51150	Y				06:59.2			N
1050	PFD Fund	Permanent Fund Dividend Fund	O	1050 Permanent Fund Dividend Fund	N	LFD changed from DGF to Other 1/2017.	68515	Y	43.23.045	33020		06:59.2	KEMAUSETH	12:40.6	N
1057	Small Bus	Small Business Loan Fund	D	1057 Small Business Loan Fund	N		68515	N	45.95.060	21607		06:59.2	BALARSON	39:55.4	N
1058	Trsm Loan	Tourism Revolving Loan Fund	D	1058 Tourism Revolving Loan Fund	N	AKSAS Fund # 21609.  Div of Finance inactivated  Nov 1996.	68515	N				06:59.2	CKOSULLIVAN	17:52.7	N
1059	Corr. Ind.	Correctional Industries Fund	D	1059 Correctional Industries Fund	N		68515	N		22654		06:59.2	KEMAUSETH	06:04.4	N
1060	OF(Pre'84)	Other Funds (Pre-FY '84 Only)	O	1060 Other Funds (Pre-FY '84 Only)	N	"per DOA/finance, flag as inactive, use zero only. 6/19/00 jm"	0	N				06:59.2			N
1061	CIP Rcpts	Capital Improvement Project Receipts	O	1061 Capital Improvement Project Receipts	N		51200	Y				06:59.2			N
1063	NPR Fund	National Petroleum Reserve Fund	F	1063 National Petroleum Reserve Fund	N		68515	Y	37.05.530	12131		06:59.2	BALARSON	44:19.5	N
9003	Unkn DGF	Unknown DGF Fund Source	D	9003 Unknown DGF Fund Source	N		0	Y			LENA	57:21.8	LENA	21:29.0	N
1067	Mining RLF	Mining Revolving Loan Fund	D	1067 Mining Revolving Loan Fund	N	Reactivated 2/10/18 to appropriate unexpended balance.	68515	Y	27.09.010	21625		06:59.2	NASTEININGER	05:30.5	N
1068	Child Care	Child Care Revolving Loan Fund	D	1068 Child Care Revolving Loan Fund	N	AKSAS Fund # 21612	68515	N				06:59.2	CKOSULLIVAN	18:56.3	N
1069	Hist Dist	Historical District Revolving Loan Fund	D	1069 Historical District Revolving Loan Fund	N		68515	N	45.98.010	21614		06:59.2	BALARSON	48:26.9	N
1070	Fish En Ln	Fisheries Enhancement Revolving Loan Fund	D	1070 Fisheries Enhancement Revolving Loan Fund	N		68515	Y	16.10.505	21615		06:59.2	BALARSON	48:44.2	N
1071	Alt Energy	Alternative Energy Revolving Loan Fund	D	1071 Alternative Energy Revolving Loan Fund	N	Reactivated 2/10/18 to appropriate unexpended balance.	68515	Y	45.88.010	21619		06:59.2	NASTEININGER	13:25.3	N
1072	Res Energy	Residential Energy Conservation Loan Fund	D	1072 Residential Energy Conservation Loan Fund	N		68515	N	45.89.010	21623		06:59.2	BALARSON	49:26.1	N
1074	Bulk Fuel	Bulk Fuel Revolving Loan Fund	D	1074 Bulk Fuel Revolving Loan Fund	N	Ch46 SLA12 (HB196) amends the Bulk Fuel Revolving Loan Fund to include the bulk fuel loan account and the bulk fuel bridge loan account to administer the bulk fuel loan and bulk fuel bridge loan programs. (AS 42.45.460 & 42.45.470). AKSAS fund 21626 & 21627.	68515	Y	42.45.250	21626		06:59.2	CKOSULLIVAN	40:52.8	N
1076	Marine Hwy	Marine Highway System Fund	D	1076 Marine Highway System Fund	N		68515	Y	19.65.060	12135		06:59.2	BALARSON	52:21.7	N
1078	Sr Housing	Senior Housing Loan Fund	D	1078 Senior Housing Loan Fund	N	AKSAS Fund # 13506. Finance inactivated fund 2/92.	68515	N				06:59.2			N
1081	Info Svc	Information Services Fund	O	1081 Information Services Fund	N		68515	Y	44.21.045	22500		06:59.2	BALARSON	56:24.1	N
1082	Vessel Rep	Vessel Replacement Fund	D	1082 Vessel Replacement Fund	N	AKSAS Fund # 11137. Changed from UGF to DGF to match LFD 4/13/13. KM	68515	Y	AS 37.05.550	11137		06:59.2	KEMAUSETH	29:46.7	N
1086	SE Energy	Southeast Energy Fund	D	1086 Southeast Energy Fund	N		68515	Y	42.45.040	11148		06:59.2	BWFECHTER	33:44.4	N
1088	UnInc Mtch	Unincorporated Matching Grant Fund	D	1088 Unincorporated Matching Grant Fund	N	Default and Alternate codes reversed by Joan Brown on 7-2-01 per request of DCED and Finance.	51403	Y	37.06.020	11147		06:59.2	BWFECHTER	29:14.4	N
1089	Power Cost	Power Cost Equalization Fund	D	1089 Power Cost Equalization Fund	N		68515	Y	42.45.100	11150		06:59.2	BALARSON	48:02.1	N
1090	4 Dam Pool	Four Dam Pool Transfer Fund	D	1090 Four Dam Pool Transfer Fund	N	AKSAS Fund # 11149.	68515	N				06:59.2	CKOSULLIVAN	21:36.6	N
1091	GF/Desig	General Funds - Designated	O	1091 General Funds - Designated	N	"LFD has classified as Other, not DGF 1/2017. KM OMB-previous yrs-Other Program Receipts-O Fnd Group.  Only used in FY1997."	51062	N				06:59.2	KEMAUSETH	14:37.0	N
1094	MHT Admin	Mental Health Trust Administration	O	1094 Mental Health Trust Administration	Y	OMB created. 	68515	Y	37.14.036	34046		06:59.2	BALARSON	50:52.3	N
1097	AETNA Res	Group Health and Life Benefits Fund (AS 39.30.095)	O	1097 Group Health and Life Benefits Fund (AS 39.30.095)	N	Created for SB1005C (2nd special session) - Rev acct only setup if needed.  	68515	Y	39.30.095	11135		06:59.2	BALARSON	51:54.0	N
1098	ChildTrErn	Children's Trust Earnings	D	1098 Children's Trust Earnings	N	By WCB 11/8/96; was 1095 by error. 'Earnings' added 12-10-96.	68515	Y	37.14.240	34052		06:59.2	BALARSON	52:15.9	N
1099	ChildTrPrn	Children's Trust Principal	D	1099 Children's Trust Principal	N	Added by Dan Spencer 12-10-96 - Rev acct only setup if needed	68515	Y	37.14.200	34051		06:59.2	BALARSON	52:28.9	N
1100	ADWF	Alaska Drinking Water Fund	O	1100 Alaska Drinking Water Fund	N		68515	Y	46.03.036	21652		06:59.2	BALARSON	52:58.2	N
1103	AHFC Rcpts	Alaska Housing Finance Corporation Receipts	O	1103 Alaska Housing Finance Corporation Receipts	N	Transferred from Leg. Fin. 5/28/97	51407	Y				06:59.2			N
-1	Unknown GF	Unknown GF	O	-1 Unknown GF	N		0	N				06:59.2	WCBELKNAP	24:08.8	N
1102	AIDEA Rcpt	Alaska Industrial Development & Export Authority Receipts	O	1102 Alaska Industrial Development & Export Authority Receipts	N	Transferred from Leg. Fin. 5/28/97	51406	Y				06:59.2			N
1104	MBB Rcpts	Alaska Municipal Bond Bank Receipts	O	1104 Alaska Municipal Bond Bank Receipts	N	Transferred from Leg. Fin. 5/28/97	51417	Y				06:59.2	WBELKNAP	54:08.1	N
1105	PFund Rcpt	Alaska Permanent Fund Corporation Receipts	O	1105 Alaska Permanent Fund Corporation Receipts	N	"Transferred from Leg. Fin. 5/28/97; update by OMB, 6/19/00 jm.  AKSAS Fund # 34030 for CAFR reporting only."	51373	Y				06:59.2			N
1107	AEA Rcpts	Alaska Energy Authority Corporate Receipts	O	1107 Alaska Energy Authority Corporate Receipts	N	Transferred from Leg. Fin. 5/28/97	51418	Y				06:59.2			N
1108	Stat Desig	Statutory Designated Program Receipts	O	1108 Statutory Designated Program Receipts	N	Transferred from Leg. Fin. 5/28/97	51063	Y				06:59.2			N
1110	APUC Rcpts	Alaska Public Utility Commission	D	1110 Alaska Public Utility Commission	N	"Transferred from Leg. Fin. 5/28/97; update by OMB, edit to account alt. number 6/19/00 jm"	51066	N				06:59.2	CKOSULLIVAN	23:04.5	N
1092	MHTAAR	Mental Health Trust Authority Authorized Receipts	O	1092 Mental Health Trust Authority Authorized Receipts	Y	OMB-short name-MHTrust In; Mental Health Trust Settlement In. 	68515	Y	37.14.036	34046		06:59.2	BALARSON	49:05.6	N
9999	No specif.	No specific fund source	O	9999 No specific fund source	N	ABS setup to load conference committee change records due to fund source / line item format.	0	Y				06:59.2			N
1114	EVOS Rest	Exxon Valdez Oil Spill Restoration Fund	O	1114 Exxon Valdez Oil Spill Restoration Fund	N	"updated 6/17/98 by OMB, JM."	68515	Y		11140		06:59.2	KEMAUSETH	09:22.2	N
1115	InT/BuEnIn	International Trade and Business Endowment Income	D	1115 International Trade and Business Endowment Income	N	"Updated by OMB, RW, 8/19/98; implement AS 37.17.440 and 
SLA98, Chapter 139, Sec. 10. AKSAS Fund # 34065.  Inactivated FY05."	51422	N		                              		06:59.2	TNARVAEZ1	12:45.9	N
1119	Tobac Setl	Tobacco Settlement	U	1119 Tobacco Settlement	N	"Alaska's share of the multi-state settlement with tobacco companies
Changed to UGF 11-28-11. cko."	65045	Y				06:59.2	CKOSULLIVAN	54:57.4	N
1121	MultiFunds	Multiple Funds pre FY94	O	1121 Multiple Funds pre FY94	N	"Leg, Finance use only. Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2			N
1122	LIC/PER/CT	License/Permits/Certification Pre 89	D	1122 License/Permits/Certification Pre 89	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	29:37.6	N
1123	Care/Trmnt	Care and Treatment - FY88	D	1123 Care and Treatment - FY88	N	"Leg. Finance use only
entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	30:49.1	N
1125	APA Plant	APA Plant Maintenance & Operation - FY88	D	1125 APA Plant Maintenance & Operation - FY88	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	31:43.8	N
1129	Legal Recp	Legal Settlement Receipts - FY88	U	1129 Legal Settlement Receipts - FY88	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	32:57.5	N
1130	Handcap Fn	Handicapped Vendor Facility Fund - FY88	F	1130 Handicapped Vendor Facility Fund - FY88	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	33:13.6	N
1049	Trng Bldg	Training and Building Fund	D	1049 Training and Building Fund	N	Dedicated fund since 1955.	68515	Y	23.20.130	12121		06:59.2	BALARSON	31:59.5	N
1174	UA I/A	UA Intra-Agency Transfers	O	1174 UA Intra-Agency Transfers	N	Added 4-5-02 for UA.	59470	Y				06:59.2			N
1132	Publ/Other	Publications and Other Services - FY88	D	1132 Publications and Other Services - FY88	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	33:53.0	N
1096	ILT Fund	Investment Loss Trust Fund (DO NOT USE)	U	1096 Investment Loss Trust Fund (DO NOT USE)	N	do not use; update AKSAS field to 'none' 1/7/99 JM; changed to zero; use #1053. 6/29/2000	0	N				06:59.2	CKOSULLIVAN	21:55.5	N
1017	Ben Sys	Benefits Systems Receipts	O	1017 Benefits Systems Receipts	N		68515	Y				06:59.2			N
1035	Vet Loan	Veterans Revolving Loan Fund	D	1035 Veterans Revolving Loan Fund	N		68515	Y	26.15.090	21605		06:59.2	BALARSON	21:31.4	N
1045	Nat Guard	National Guard & Naval Militia Retirement System	O	1045 National Guard & Naval Militia Retirement System	N		68515	Y	26.05.222	35030		06:59.2	BALARSON	31:23.3	N
1055	IA/OIL HAZ	Interagency/Oil & Hazardous Waste	O	1055 Interagency/Oil & Hazardous Waste	N		51395	Y				06:59.2	KEMAUSETH	33:47.5	N
1064	House Loan	Housing Assistance Loan Fund	D	1064 Housing Assistance Loan Fund	N	AKSAS Fund # 21635. Finance inactivated 6/95.	68515	N				06:59.2			N
1073	Pwr Dv RLF	Power Development Revolving Loan Fund	D	1073 Power Development Revolving Loan Fund	N	AKSAS Fund # 21626. Finance inactivated fund 6/95.	68515	N				06:59.2	CKOSULLIVAN	19:28.6	N
1084	Alyeska	Alyeska Settlement Fund	O	1084 Alyeska Settlement Fund	N		68515	Y		33080		06:59.2	BALARSON	58:39.1	N
1095	Med Facil	Medical Facilities Authority Fund	O	1095 Medical Facilities Authority Fund	N	probably a one time - Rev acct only setup if needed	0	N				06:59.2			N
1113	AHFC Bonds	Alaska Housing Finance Corporation Bonds	O	1113 Alaska Housing Finance Corporation Bonds	N	"updated 6/17/98 by OMB, JM. rec'd from DOA the AKSAS#."	51419	Y				06:59.2			N
1118	Pioneers' 	Pioneers' Homes Receipts	D	1118 Pioneers' Homes Receipts	N	"New fund source to reflect legislative proposal.
rec'd account code from DOA Finance 6/9/99."	51123	N				06:59.2	CKOSULLIVAN	23:27.3	N
1224	MariculRLF	Mariculture Revolving Loan Fund	D	1224 Mariculture Revolving Loan Fund	N	SLA2012 HB121 - AKSAS 51507	68515	Y	16.10.900	21634	KEELLIOTT	36:43.6	KEELLIOTT	25:50.3	N
1135	AMHS Dup	Marine Highway Duplicated Expenditures	D	1135 Marine Highway Duplicated Expenditures	N	To match Leg Finance code added for recasting by Joan Brown 11/10/99.  AKSAS Fund # 12135.	68515	N				06:59.2	CKOSULLIVAN	37:33.8	N
1137	DComp IA	Inactive-Deferred Compensation Inter Agency Receipts	O	1137 Inactive-Deferred Compensation Inter Agency Receipts	N	"To match Leg Finance code added for recasting by Joan Brown 11/10/99
Leg Finance and OMB agreed not to use during 2000 session."	0	N				06:59.2			N
1229	AGDC-ISP	AK Gasline Development Corporation In-state Pipeline Fund	O	1229 AK Gasline Development Corporation In-state Pipeline Fund	N	"3/14: change name from In-State Natural Gas Pipleline Fund to AGDC In-state Pipleline Fund to match LFD KM
HB4 SLA2013
6/20/13 added unrestricted as default 68515 per DOF
subfund of AK Gasline Development Corp"	68515	Y	AS 31.25.100	34077	KEELLIOTT	16:21.2	KEMAUSETH	08:36.8	N
1138	Hlth I/A	Inactive-Health Inter-Agency Receipts	O	1138 Inactive-Health Inter-Agency Receipts	N	"To match Leg Finance code added for recasting by Joan Brown 11/10/99
Leg Finance and OMB agreed not to use during 2000 session."	0	N				06:59.2			N
1141	RCA Rcpts	RCA Receipts	D	1141 RCA Receipts	N	"To reflect the statutory change in SB 133, CH 25, SLA 1999"	51066	Y				06:59.2			N
1142	RHIF/MM   	Retiree Health Ins Fund/Major Medical	O	1142 Retiree Health Ins Fund/Major Medical	N	Added per Dept of Revenue's request of 11/4/99 on 11/10/99 by Joan Brown.  Renamed to Defined Benefits Major Medical 06-2009.	68515	Y		11156		06:59.2	BALARSON	47:20.4	N
