FUND_CODE		SHORT_NAME	LONG_NAME	CLASS			MH_FLAG	COMMENTS	AKSAS_ACCT_ALT	ACTIVE	STAT_REF	AKSAS_FUNDS	CREATE_BY	CREATE_TIME	CHANGE_BY	CHANGE_TIME	RETAINS_INTEREST
1265	|1265|	COVID Fed	Non-specific COVID Fed	F	1265 Non-specific COVID Fed	"csv_find_replace_column(""1265 COVID Fed"",""1265 Non-specific COVID Fed"", fund_column)"	N		61405	Y			WCBELKNAP	48:50.3	SRWILLHOITE	02:19.4	N
1268	|1268|	MH Tr Res	Mental Health Trust Reserve	D	1268 Mental Health Trust Reserve	"csv_find_replace_column(""1268 MH Tr Res"",""1268 Mental Health Trust Reserve"", fund_column)"	Y	Added 11/30/2020	61405	Y			SRWILLHOITE	21:50.6	SRWILLHOITE	41:52.8	N
1267	|1267|	FTA CRRSAA	FTA CRRSAA Grant Funding	F	1267 FTA CRRSAA Grant Funding	"csv_find_replace_column(""1267 FTA CRRSAA"",""1267 FTA CRRSAA Grant Funding"", fund_column)"	N		61405	Y			SRWILLHOITE	01:03.2	SRWILLHOITE	01:27.5	N
1269	|1269|	CSLFRF	CSLFRF (Fed) Flexible ARP Funding	F	1269 CSLFRF (Fed) Flexible ARP Funding	"csv_find_replace_column(""1269 CSLFRF"",""1269 CSLFRF (Fed) Flexible ARP Funding"", fund_column)"	N		61405	Y			SRWILLHOITE	07:00.1	SRWILLHOITE	02:42.0	N
1266	|1266|	COVID UGF	COVID UGF	U	1266 COVID UGF	"csv_find_replace_column(""1266 COVID UGF"",""1266 COVID UGF"", fund_column)"	N		61405	Y			SRWILLHOITE	08:53.3	SRWILLHOITE	09:12.9	N
1270	|1270|	FHWA CRRSA	FHWA CRRSAA Fed	F	1270 FHWA CRRSAA Fed	"csv_find_replace_column(""1270 FHWA CRRSA"",""1270 FHWA CRRSAA Fed"", fund_column)"	N		61405	Y			JQUARSTAD	24:02.5	JQUARSTAD	34:07.6	N
1271	|1271|	ARPA Rev R	ARPA Revenue Replacement UGF	U	1271 ARPA Revenue Replacement UGF	"csv_find_replace_column(""1271 ARPA Rev R"",""1271 ARPA Revenue Replacement UGF"", fund_column)"	N	Only in ABS - not setup in IRIS	61405	Y			SRWILLHOITE	18:01.6	SRWILLHOITE	19:03.4	N
1246	|1246|	Recid Redu	Recidivism Reduction Fund	D	1246 Recidivism Reduction Fund	"csv_find_replace_column(""1246 Recid Redu"",""1246 Recidivism Reduction Fund"", fund_column)"	Y	flagged as MH. This fund is similar to the Alcohol fund (1180). AS 43.61.010 - Marijuana Tax Cultivators. 50% to Recidivism Reduction Fund	68515	Y			KEMAUSETH	26:14.2	WCBELKNAP	49:37.1	N
1247	|1247|	Med Recov	Medicaid Monetary Recoveries	D	1247 Medicaid Monetary Recoveries	"csv_find_replace_column(""1247 Med Recov"",""1247 Medicaid Monetary Recoveries"", fund_column)"	N	SB 74 SLA16. See FN 63. Not used - inactivated 8/19/2021	68515	Y	47.05.200		KEMAUSETH	30:48.7	SRWILLHOITE	30:31.5	N
1248	|1248|	ACHI Fund	Alaska Comprehensive Health Insurance Fund	D	1248 Alaska Comprehensive Health Insurance Fund	"csv_find_replace_column(""1248 ACHI Fund"",""1248 Alaska Comprehensive Health Insurance Fund"", fund_column)"	N	Added per HB 374. SLA2016	68515	Y	AS 21.55.430		KEMAUSETH	47:34.9	WCBELKNAP	25:48.9	N
1000	|1000|	Restrtd GF	Restricted General Fund	D	1000 Restricted General Fund	"csv_find_replace_column(""1000 Restrtd GF"",""1000 Restricted General Fund"", fund_column)"	N		68515	N		11100		06:59.2	KEMAUSETH	03:37.8	N
1002	|1002|	Fed Rcpts	Federal Receipts	F	1002 Federal Receipts	"csv_find_replace_column(""1002 Fed Rcpts"",""1002 Federal Receipts"", fund_column)"	N		51010	Y				06:59.2			N
1003	|1003|	G/F Match	General Fund Match	U	1003 General Fund Match	"csv_find_replace_column(""1003 G/F Match"",""1003 General Fund Match"", fund_column)"	N		51005	Y				06:59.2			N
1004	|1004|	Gen Fund	General Fund Receipts	U	1004 General Fund Receipts	"csv_find_replace_column(""1004 Gen Fund"",""1004 General Fund Receipts"", fund_column)"	N		51005	Y		11100		06:59.2	WCBELKNAP	02:18.8	N
1005	|1005|	GF/Prgm	General Fund/Program Receipts	D	1005 General Fund/Program Receipts	"csv_find_replace_column(""1005 GF/Prgm"",""1005 General Fund/Program Receipts"", fund_column)"	N		51060	Y				06:59.2	SHILDEBRAND	21:47.7	N
1007	|1007|	I/A Rcpts	Interagency Receipts	O	1007 Interagency Receipts	"csv_find_replace_column(""1007 I/A Rcpts"",""1007 Interagency Receipts"", fund_column)"	N		51015	Y				06:59.2	WCBELKNAP	20:18.0	N
1010	|1010|	UA/INT INC	University of Alaska Interest Income	D	1010 University of Alaska Interest Income	"csv_find_replace_column(""1010 UA/INT INC"",""1010 University of Alaska Interest Income"", fund_column)"	N		51030	N				06:59.2	CKOSULLIVAN	59:04.0	N
1012	|1012|	Rail Enrgy	Railbelt Energy Fund	U	1012 Railbelt Energy Fund	"csv_find_replace_column(""1012 Rail Enrgy"",""1012 Railbelt Energy Fund"", fund_column)"	N		68515	Y	37.05.520	11123		06:59.2	BALARSON	42:13.2	N
1013	|1013|	Alchl/Drug	Alcoholism & Drug Abuse Revolving Loan	F	1013 Alcoholism & Drug Abuse Revolving Loan	"csv_find_replace_column(""1013 Alchl/Drug"",""1013 Alcoholism & Drug Abuse Revolving Loan"", fund_column)"	N		68515	Y	44.29.210	21642		06:59.2	BALARSON	42:32.7	N
1014	|1014|	Donat Comm	Donated Commodity/Handling Fee Account	F	1014 Donated Commodity/Handling Fee Account	"csv_find_replace_column(""1014 Donat Comm"",""1014 Donated Commodity/Handling Fee Account"", fund_column)"	N		68515	Y		11120		06:59.2	BALARSON	30:17.6	N
1015	|1015|	UA/DFA SVC	U/A Dormitory/Food/Auxiliary Service	D	1015 U/A Dormitory/Food/Auxiliary Service	"csv_find_replace_column(""1015 UA/DFA SVC"",""1015 U/A Dormitory/Food/Auxiliary Service"", fund_column)"	N		51290	N				06:59.2	CKOSULLIVAN	01:38.7	N
1016	|1016|	Fed Incent	CSSD Federal Incentive Payments	F	1016 CSSD Federal Incentive Payments	"csv_find_replace_column(""1016 Fed Incent"",""1016 CSSD Federal Incentive Payments"", fund_column)"	N		51378	Y				06:59.2			N
1019	|1019|	Reforest	Reforestation Fund	O	1019 Reforestation Fund	"csv_find_replace_column(""1019 Reforest"",""1019 Reforestation Fund"", fund_column)"	N	LFD has classified as Other instead of DGF 1/2017. KM	68515	N	41.17.300	12130		06:59.2	KEMAUSETH	13:48.3	N
1021	|1021|	Agric Loan	Agricultural Loan Fund	D	1021 Agricultural Loan Fund	"csv_find_replace_column(""1021 Agric Loan"",""1021 Agricultural Loan Fund"", fund_column)"	N		68515	Y	03.10.040	21606		06:59.2	BALARSON	43:46.5	N
1024	|1024|	Fish/Game	Fish and Game Fund	O	1024 Fish and Game Fund	"csv_find_replace_column(""1024 Fish/Game"",""1024 Fish and Game Fund"", fund_column)"	N	"Fish and Game AKSAS fund 12124 used for Sport Fish/Wildlife and 12147 Civil Fines and Penalties used for Comm Fish. F&G has requested a separate fund code for Civil Fines and Penalties in Nov13 and May14. Discussing with DLF 5-13-14 cko.
"	51045	Y	16.05.100	12124/12147                   		06:59.2	CKOSULLIVAN	41:01.6	N
1026	|1026|	Hwy Capitl	Highways/Equipment Working Capital Fund	O	1026 Highways/Equipment Working Capital Fund	"csv_find_replace_column(""1026 Hwy Capitl"",""1026 Highways/Equipment Working Capital Fund"", fund_column)"	N		68515	Y	44.68.210	22652		06:59.2	BALARSON	45:57.1	N
1027	|1027|	Int Airprt	International Airport Revenue Fund	O	1027 International Airport Revenue Fund	"csv_find_replace_column(""1027 Int Airprt"",""1027 International Airport Revenue Fund"", fund_column)"	N		68515	Y	37.15.430	21600		06:59.2	BALARSON	46:11.3	N
1031	|1031|	Sec Injury	Second Injury Fund Reserve Account	D	1031 Second Injury Fund Reserve Account	"csv_find_replace_column(""1031 Sec Injury"",""1031 Second Injury Fund Reserve Account"", fund_column)"	N		68515	Y	23.30.040	11117		06:59.2	BALARSON	47:21.8	N
1034	|1034|	Teach Ret	Teachers Retirement System Fund	O	1034 Teachers Retirement System Fund	"csv_find_replace_column(""1034 Teach Ret"",""1034 Teachers Retirement System Fund"", fund_column)"	N		68515	Y	14.25.010	35020		06:59.2	BALARSON	51:22.2	N
1036	|1036|	Cm Fish Ln	Commercial Fishing Loan Fund	D	1036 Commercial Fishing Loan Fund	"csv_find_replace_column(""1036 Cm Fish Ln"",""1036 Commercial Fishing Loan Fund"", fund_column)"	N		68515	Y	16.10.340	21608		06:59.2	BALARSON	21:47.7	N
1195	|1195|	SnoMachReg	Snow Machine Registration Receipts	D	1195 Snow Machine Registration Receipts	"csv_find_replace_column(""1195 SnoMachReg"",""1195 Snow Machine Registration Receipts"", fund_column)"	N	"Changed name from Special Vehicle Registration Receipts to Snow Machine Registration Receipts per LFD change. 10/25/2016 KM
Revenues from DMV's boat registration receipts until FY2011 - when assigned it own code of 1216."	51073	Y	28.39.010-250			06:59.2	KEMAUSETH	17:38.9	N
1037	|1037|	GF/MH	General Fund / Mental Health	U	1037 General Fund / Mental Health	"csv_find_replace_column(""1037 GF/MH"",""1037 General Fund / Mental Health"", fund_column)"	Y	previously Children's Trust Fund - O Fund Group - never used. AKSAS fund #34042	68520	Y				06:59.2			N
1038	|1038|	UA/STF SVC	U/A Student Tuition/Fees/Services	D	1038 U/A Student Tuition/Fees/Services	"csv_find_replace_column(""1038 UA/STF SVC"",""1038 U/A Student Tuition/Fees/Services"", fund_column)"	N		51110	N				06:59.2	CKOSULLIVAN	12:17.0	N
1039	|1039|	UA/ICR	U/A Indirect Cost Recovery	D	1039 U/A Indirect Cost Recovery	"csv_find_replace_column(""1039 UA/ICR"",""1039 U/A Indirect Cost Recovery"", fund_column)"	N		51024	Y				06:59.2	CKOSULLIVAN	15:59.5	N
1040	|1040|	Surety Fnd	Real Estate Surety Fund	D	1040 Real Estate Surety Fund	"csv_find_replace_column(""1040 Surety Fnd"",""1040 Real Estate Surety Fund"", fund_column)"	N	Changed from Other to DGF to match LFD. Kym	68515	Y	08.88.450	11121		06:59.2	KEMAUSETH	33:24.1	N
1192	|1192|	Mine Trust	Mine Reclamation Trust Fund	O	1192 Mine Reclamation Trust Fund	"csv_find_replace_column(""1192 Mine Trust"",""1192 Mine Reclamation Trust Fund"", fund_column)"	N	"added per ch. 137, SLA 2004 (Governor bill)"	68515	Y	37.14.800	12140		06:59.2	BALARSON	10:59.6	N
1042	|1042|	Jud Retire	Judicial Retirement System	O	1042 Judicial Retirement System	"csv_find_replace_column(""1042 Jud Retire"",""1042 Judicial Retirement System"", fund_column)"	N		68515	Y	22.25.048	35025		06:59.2	BALARSON	29:28.0	N
1044	|1044|	Debt Ret	AK Debt Retirement Fund	O	1044 AK Debt Retirement Fund	"csv_find_replace_column(""1044 Debt Ret"",""1044 AK Debt Retirement Fund"", fund_column)"	N	"SLA1991, Ch87, Sec2"	68515	Y	37.15.011	11138		06:59.2	BALARSON	30:32.3	N
1046	|1046|	Stdnt Loan	Student Revolving Loan Fund	O	1046 Student Revolving Loan Fund	"csv_find_replace_column(""1046 Stdnt Loan"",""1046 Student Revolving Loan Fund"", fund_column)"	N	5/2012 DOF said this was not an active fund. DOR fund source to be changed in FY16 to 1106. This is now inactive in both OMB and DLF budget systems - cko 10-20-14.	68515	Y				06:59.2	BALARSON	53:09.5	N
1048	|1048|	Univ Rcpt	University Restricted Receipts	D	1048 University Restricted Receipts	"csv_find_replace_column(""1048 Univ Rcpt"",""1048 University Restricted Receipts"", fund_column)"	N		51150	Y				06:59.2			N
1050	|1050|	PFD Fund	Permanent Fund Dividend Fund	O	1050 Permanent Fund Dividend Fund	"csv_find_replace_column(""1050 PFD Fund"",""1050 Permanent Fund Dividend Fund"", fund_column)"	N	LFD changed from DGF to Other 1/2017.	68515	Y	43.23.045	33020		06:59.2	KEMAUSETH	12:40.6	N
1057	|1057|	Small Bus	Small Business Loan Fund	D	1057 Small Business Loan Fund	"csv_find_replace_column(""1057 Small Bus"",""1057 Small Business Loan Fund"", fund_column)"	N		68515	N	45.95.060	21607		06:59.2	BALARSON	39:55.4	N
1058	|1058|	Trsm Loan	Tourism Revolving Loan Fund	D	1058 Tourism Revolving Loan Fund	"csv_find_replace_column(""1058 Trsm Loan"",""1058 Tourism Revolving Loan Fund"", fund_column)"	N	AKSAS Fund # 21609.  Div of Finance inactivated  Nov 1996.	68515	N				06:59.2	CKOSULLIVAN	17:52.7	N
1059	|1059|	Corr. Ind.	Correctional Industries Fund	D	1059 Correctional Industries Fund	"csv_find_replace_column(""1059 Corr. Ind."",""1059 Correctional Industries Fund"", fund_column)"	N		68515	N		22654		06:59.2	KEMAUSETH	06:04.4	N
1060	|1060|	OF(Pre'84)	Other Funds (Pre-FY '84 Only)	O	1060 Other Funds (Pre-FY '84 Only)	"csv_find_replace_column(""1060 OF(Pre'84)"",""1060 Other Funds (Pre-FY '84 Only)"", fund_column)"	N	"per DOA/finance, flag as inactive, use zero only. 6/19/00 jm"	0	N				06:59.2			N
1061	|1061|	CIP Rcpts	Capital Improvement Project Receipts	O	1061 Capital Improvement Project Receipts	"csv_find_replace_column(""1061 CIP Rcpts"",""1061 Capital Improvement Project Receipts"", fund_column)"	N		51200	Y				06:59.2			N
1063	|1063|	NPR Fund	National Petroleum Reserve Fund	F	1063 National Petroleum Reserve Fund	"csv_find_replace_column(""1063 NPR Fund"",""1063 National Petroleum Reserve Fund"", fund_column)"	N		68515	Y	37.05.530	12131		06:59.2	BALARSON	44:19.5	N
9003	|9003|	Unkn DGF	Unknown DGF Fund Source	D	9003 Unknown DGF Fund Source	"csv_find_replace_column(""9003 Unkn DGF"",""9003 Unknown DGF Fund Source"", fund_column)"	N		0	Y			LENA	57:21.8	LENA	21:29.0	N
1067	|1067|	Mining RLF	Mining Revolving Loan Fund	D	1067 Mining Revolving Loan Fund	"csv_find_replace_column(""1067 Mining RLF"",""1067 Mining Revolving Loan Fund"", fund_column)"	N	Reactivated 2/10/18 to appropriate unexpended balance.	68515	Y	27.09.010	21625		06:59.2	NASTEININGER	05:30.5	N
1068	|1068|	Child Care	Child Care Revolving Loan Fund	D	1068 Child Care Revolving Loan Fund	"csv_find_replace_column(""1068 Child Care"",""1068 Child Care Revolving Loan Fund"", fund_column)"	N	AKSAS Fund # 21612	68515	N				06:59.2	CKOSULLIVAN	18:56.3	N
1069	|1069|	Hist Dist	Historical District Revolving Loan Fund	D	1069 Historical District Revolving Loan Fund	"csv_find_replace_column(""1069 Hist Dist"",""1069 Historical District Revolving Loan Fund"", fund_column)"	N		68515	N	45.98.010	21614		06:59.2	BALARSON	48:26.9	N
1070	|1070|	Fish En Ln	Fisheries Enhancement Revolving Loan Fund	D	1070 Fisheries Enhancement Revolving Loan Fund	"csv_find_replace_column(""1070 Fish En Ln"",""1070 Fisheries Enhancement Revolving Loan Fund"", fund_column)"	N		68515	Y	16.10.505	21615		06:59.2	BALARSON	48:44.2	N
1071	|1071|	Alt Energy	Alternative Energy Revolving Loan Fund	D	1071 Alternative Energy Revolving Loan Fund	"csv_find_replace_column(""1071 Alt Energy"",""1071 Alternative Energy Revolving Loan Fund"", fund_column)"	N	Reactivated 2/10/18 to appropriate unexpended balance.	68515	Y	45.88.010	21619		06:59.2	NASTEININGER	13:25.3	N
1072	|1072|	Res Energy	Residential Energy Conservation Loan Fund	D	1072 Residential Energy Conservation Loan Fund	"csv_find_replace_column(""1072 Res Energy"",""1072 Residential Energy Conservation Loan Fund"", fund_column)"	N		68515	N	45.89.010	21623		06:59.2	BALARSON	49:26.1	N
1074	|1074|	Bulk Fuel	Bulk Fuel Revolving Loan Fund	D	1074 Bulk Fuel Revolving Loan Fund	"csv_find_replace_column(""1074 Bulk Fuel"",""1074 Bulk Fuel Revolving Loan Fund"", fund_column)"	N	Ch46 SLA12 (HB196) amends the Bulk Fuel Revolving Loan Fund to include the bulk fuel loan account and the bulk fuel bridge loan account to administer the bulk fuel loan and bulk fuel bridge loan programs. (AS 42.45.460 & 42.45.470). AKSAS fund 21626 & 21627.	68515	Y	42.45.250	21626		06:59.2	CKOSULLIVAN	40:52.8	N
1076	|1076|	Marine Hwy	Marine Highway System Fund	D	1076 Marine Highway System Fund	"csv_find_replace_column(""1076 Marine Hwy"",""1076 Marine Highway System Fund"", fund_column)"	N		68515	Y	19.65.060	12135		06:59.2	BALARSON	52:21.7	N
1078	|1078|	Sr Housing	Senior Housing Loan Fund	D	1078 Senior Housing Loan Fund	"csv_find_replace_column(""1078 Sr Housing"",""1078 Senior Housing Loan Fund"", fund_column)"	N	AKSAS Fund # 13506. Finance inactivated fund 2/92.	68515	N				06:59.2			N
1081	|1081|	Info Svc	Information Services Fund	O	1081 Information Services Fund	"csv_find_replace_column(""1081 Info Svc"",""1081 Information Services Fund"", fund_column)"	N		68515	Y	44.21.045	22500		06:59.2	BALARSON	56:24.1	N
1082	|1082|	Vessel Rep	Vessel Replacement Fund	D	1082 Vessel Replacement Fund	"csv_find_replace_column(""1082 Vessel Rep"",""1082 Vessel Replacement Fund"", fund_column)"	N	AKSAS Fund # 11137. Changed from UGF to DGF to match LFD 4/13/13. KM	68515	Y	AS 37.05.550	11137		06:59.2	KEMAUSETH	29:46.7	N
1086	|1086|	SE Energy	Southeast Energy Fund	D	1086 Southeast Energy Fund	"csv_find_replace_column(""1086 SE Energy"",""1086 Southeast Energy Fund"", fund_column)"	N		68515	Y	42.45.040	11148		06:59.2	BWFECHTER	33:44.4	N
1088	|1088|	UnInc Mtch	Unincorporated Matching Grant Fund	D	1088 Unincorporated Matching Grant Fund	"csv_find_replace_column(""1088 UnInc Mtch"",""1088 Unincorporated Matching Grant Fund"", fund_column)"	N	Default and Alternate codes reversed by Joan Brown on 7-2-01 per request of DCED and Finance.	51403	Y	37.06.020	11147		06:59.2	BWFECHTER	29:14.4	N
1089	|1089|	Power Cost	Power Cost Equalization Fund	D	1089 Power Cost Equalization Fund	"csv_find_replace_column(""1089 Power Cost"",""1089 Power Cost Equalization Fund"", fund_column)"	N		68515	Y	42.45.100	11150		06:59.2	BALARSON	48:02.1	N
1090	|1090|	4 Dam Pool	Four Dam Pool Transfer Fund	D	1090 Four Dam Pool Transfer Fund	"csv_find_replace_column(""1090 4 Dam Pool"",""1090 Four Dam Pool Transfer Fund"", fund_column)"	N	AKSAS Fund # 11149.	68515	N				06:59.2	CKOSULLIVAN	21:36.6	N
1091	|1091|	GF/Desig	General Funds - Designated	O	1091 General Funds - Designated	"csv_find_replace_column(""1091 GF/Desig"",""1091 General Funds - Designated"", fund_column)"	N	"LFD has classified as Other, not DGF 1/2017. KM OMB-previous yrs-Other Program Receipts-O Fnd Group.  Only used in FY1997."	51062	N				06:59.2	KEMAUSETH	14:37.0	N
1094	|1094|	MHT Admin	Mental Health Trust Administration	O	1094 Mental Health Trust Administration	"csv_find_replace_column(""1094 MHT Admin"",""1094 Mental Health Trust Administration"", fund_column)"	Y	OMB created. 	68515	Y	37.14.036	34046		06:59.2	BALARSON	50:52.3	N
