FUND_CODE	SHORT_NAME	LONG_NAME	AKSAS_ACCT_NUM	CLASS	MH_FLAG	COMMENTS	AKSAS_ACCT_ALT	ACTIVE	STAT_REF	AKSAS_FUNDS	CREATE_BY	CREATE_TIME	CHANGE_BY	CHANGE_TIME	RETAINS_INTEREST
1249	Motor Fuel	Motor Fuel Tax Receipts	0    	D	N	HB 60 SLA17 (pending).	0    	Y			WCBELKNAP	10/27/2016 13:29:56.56	KEMAUSETH	6/29/2017 15:14:32.443	N
1250	Maint Cap	Maintenance and Capital Fund	0    	U	N		61405	Y	xxx		KEMAUSETH	12/11/2017 10:17:03.95	KEMAUSETH	12/11/2017 10:24:41.4	N
1253	STA Bonds	Subject to Appropriation Bonds	0    	O	N	create by HB331 SLA2018 oil and gas tax credit bonds Brian Fechter	61405	Y	AS 37.18.030		BWFECHTER	5/11/2018 10:01:05.063	JRSTERN1	9/19/2018 15:29:22.726	N
1254	MET Fund	Marijuana Education and Treatment Fund	0    	D	Y	Created by SB28 SLA2018. 25% excise tax on marijuana sales to be used by DHSS for the marijuana treatment and education program.	61405	Y	AS 43.61.010(f)		BWFECHTER	5/13/2018 11:37:15.472	WCBELKNAP	5/31/2019 16:05:28.928	N
1255	Invest	Securities Investor Education and Training Fund	0    	D	N		61405	Y	AS 45.56.625		BWFECHTER	6/20/2018 13:23:41.195	WCBELKNAP	5/31/2019 16:05:24.902	N
1256	Ed Endow	Education Endowment Fund	0    	O	N	Created by HB213 SLA2018. Allows 25% of the proceeds from money donated under the PFD raffle program plus earnings to be appropriated to this fund.	61405	Y	AS 43.23.063		JRSTERN1	9/19/2018 15:31:13.628	BWFECHTER	12/20/2019 11:12:21.001	N
1257	Div Raffle	Dividend Raffle Fund	0    	O	N	Dividend Raffle fund no appropriations out	61405	Y			JRSTERN1	9/19/2018 15:33:36.227	WCBELKNAP	5/31/2019 16:05:04.079	N
1261	Shared Tax	Shared Taxes	0    	D	N	Tracking code for shared taxes appropriations created by LFD 3/29/2019	61405	Y			NASTEININGER	4/1/2019 08:47:04.015	NASTEININGER	4/1/2019 08:48:10.894	N
1262	StatPFRoy	Non-mandatory Royalty Deposits to the Permanent Fund	0    	D	N		61405	Y			SRWILLHOITE	12/9/2019 20:31:01.535	BWFECHTER	12/20/2019 09:53:08.796	Y
1251	Non-UGF	Non-UGF (Leg Fiscal Note System Only)	0    	O	N	Created for import of fiscal note data into change records, not to be used outside of that.	61405	Y			WCBELKNAP	2/25/2020 11:43:11.917	WCBELKNAP	2/25/2020 11:44:07.096	N
1252	DGF Temp	DGF Temp (Leg Fiscal Note System)	0    	D	N	Added to import Leg Finance fiscal note system data. wcb 3/10/20	61405	Y			WCBELKNAP	3/10/2020 10:52:34.231	WCBELKNAP	3/10/2020 10:52:49.595	N
1264	MET Alt	MET Alt	0    	D	N	Added during FY21 CC import from Legfin wcb	61405	Y			WCBELKNAP	4/2/2020 09:34:17.974	WCBELKNAP	4/2/2020 09:37:16.051	N
1265	COVID Fed	Non-specific COVID Fed	0    	F	N		61405	Y			WCBELKNAP	9/30/2020 11:48:50.333	SRWILLHOITE	5/13/2021 16:02:19.438	N
1268	MH Tr Res	Mental Health Trust Reserve	0    	D	Y	Added 11/30/2020	61405	Y			SRWILLHOITE	11/30/2020 16:21:50.616	SRWILLHOITE	12/6/2020 12:41:52.823	N
1267	FTA CRRSAA	FTA CRRSAA Grant Funding	0    	F	N		61405	Y			SRWILLHOITE	4/24/2021 11:01:03.187	SRWILLHOITE	4/24/2021 11:01:27.453	N
1269	CSLFRF	CSLFRF (Fed) Flexible ARP Funding	0    	F	N		61405	Y			SRWILLHOITE	4/24/2021 11:07:00.072	SRWILLHOITE	5/13/2021 16:02:42.048	N
1266	COVID UGF	COVID UGF	0    	U	N		61405	Y			SRWILLHOITE	4/24/2021 11:08:53.293	SRWILLHOITE	4/24/2021 11:09:12.903	N
1270	FHWA CRRSA	FHWA CRRSAA Fed	0    	F	N		61405	Y			JQUARSTAD	5/13/2021 12:24:02.522	JQUARSTAD	5/13/2021 12:34:07.567	N
1271	ARPA Rev R	ARPA Revenue Replacement UGF	0    	U	N	Only in ABS - not setup in IRIS	61405	Y			SRWILLHOITE	6/14/2021 10:18:01.64	SRWILLHOITE	6/14/2021 10:19:03.438	N
1246	Recid Redu	Recidivism Reduction Fund	0    	D	Y	flagged as MH. This fund is similar to the Alcohol fund (1180). AS 43.61.010 - Marijuana Tax Cultivators. 50% to Recidivism Reduction Fund	68515	Y			KEMAUSETH	4/25/2016 16:26:14.183	WCBELKNAP	6/6/2018 10:49:37.145	N
1247	Med Recov	Medicaid Monetary Recoveries	0    	D	N	SB 74 SLA16. See FN 63. Not used - inactivated 8/19/2021	68515	Y	47.05.200		KEMAUSETH	4/25/2016 16:30:48.651	SRWILLHOITE	8/19/2021 12:30:31.516	N
1248	ACHI Fund	Alaska Comprehensive Health Insurance Fund	68515	D	N	Added per HB 374. SLA2016	68515	Y	AS 21.55.430		KEMAUSETH	5/31/2016 11:47:34.86	WCBELKNAP	5/30/2018 11:25:48.929	N
1000	Restrtd GF	Restricted General Fund	51005	D	N		68515	N		11100                         		7/9/2006 20:06:59.242001	KEMAUSETH	9/6/2012 15:03:37.755	N
1002	Fed Rcpts	Federal Receipts	51010	F	N		51010	Y				7/9/2006 20:06:59.242001			N
1003	G/F Match	General Fund Match	68510	U	N		51005	Y				7/9/2006 20:06:59.242001			N
1004	Gen Fund	General Fund Receipts	68515	U	N		51005	Y		11100                         		7/9/2006 20:06:59.242001	WCBELKNAP	6/24/2015 10:02:18.832	N
1005	GF/Prgm	General Fund/Program Receipts	51060	D	N		51060	Y				7/9/2006 20:06:59.242001	SHILDEBRAND	6/7/2010 10:21:47.684	N
1007	I/A Rcpts	Interagency Receipts	51015	O	N		51015	Y				7/9/2006 20:06:59.242001	WCBELKNAP	6/2/2016 11:20:18.019	N
1010	UA/INT INC	University of Alaska Interest Income	51030	D	N		51030	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 09:59:04.02	N
1012	Rail Enrgy	Railbelt Energy Fund	51265	U	N		68515	Y	37.05.520	11123                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 09:42:13.225	N
1013	Alchl/Drug	Alcoholism & Drug Abuse Revolving Loan	51377	F	N		68515	Y	44.29.210	21642                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 09:42:32.663	N
1014	Donat Comm	Donated Commodity/Handling Fee Account	51120	F	N		68515	Y		11120                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 09:30:17.584	N
1015	UA/DFA SVC	U/A Dormitory/Food/Auxiliary Service	51290	D	N		51290	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:01:38.739	N
1016	Fed Incent	CSSD Federal Incentive Payments	51378	F	N		51378	Y				7/9/2006 20:06:59.242001			N
1019	Reforest	Reforestation Fund	51397	O	N	LFD has classified as Other instead of DGF 1/2017. KM	68515	N	41.17.300	12130                         		7/9/2006 20:06:59.242001	KEMAUSETH	1/26/2017 14:13:48.317	N
1021	Agric Loan	Agricultural Loan Fund	51035	D	N		68515	Y	03.10.040	21606                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 09:43:46.522	N
1024	Fish/Game	Fish and Game Fund	68535	O	N	"Fish and Game AKSAS fund 12124 used for Sport Fish/Wildlife and 12147 Civil Fines and Penalties used for Comm Fish. F&G has requested a separate fund code for Civil Fines and Penalties in Nov13 and May14. Discussing with DLF 5-13-14 cko.
"	51045	Y	16.05.100	12124/12147                   		7/9/2006 20:06:59.242001	CKOSULLIVAN	5/13/2014 10:41:01.615	N
1026	Hwy Capitl	Highways/Equipment Working Capital Fund	51050	O	N		68515	Y	44.68.210	22652                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 09:45:57.131	N
1027	Int Airprt	International Airport Revenue Fund	51055	O	N		68515	Y	37.15.430	21600                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 09:46:11.288	N
1031	Sec Injury	Second Injury Fund Reserve Account	51075	D	N		68515	Y	23.30.040	11117                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 09:47:21.85	N
1034	Teach Ret	Teachers Retirement System Fund	51090	O	N		68515	Y	14.25.010	35020                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 09:51:22.163	N
1036	Cm Fish Ln	Commercial Fishing Loan Fund	51100	D	N		68515	Y	16.10.340	21608                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:21:47.675	N
1195	SnoMachReg	Snow Machine Registration Receipts	51073	D	N	"Changed name from Special Vehicle Registration Receipts to Snow Machine Registration Receipts per LFD change. 10/25/2016 KM
Revenues from DMV's boat registration receipts until FY2011 - when assigned it own code of 1216."	51073	Y	28.39.010-250			7/9/2006 20:06:59.242001	KEMAUSETH	10/25/2016 11:17:38.925	N
1037	GF/MH	General Fund / Mental Health	68520	U	Y	previously Children's Trust Fund - O Fund Group - never used. AKSAS fund #34042	68520	Y				7/9/2006 20:06:59.242001			N
1038	UA/STF SVC	U/A Student Tuition/Fees/Services	51110	D	N		51110	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:12:17.02	N
1039	UA/ICR	U/A Indirect Cost Recovery	51024	D	N		51024	Y				7/9/2006 20:06:59.242001	CKOSULLIVAN	12/5/2011 09:15:59.487	N
1040	Surety Fnd	Real Estate Surety Fund	51360	D	N	Changed from Other to DGF to match LFD. Kym	68515	Y	08.88.450	11121                         		7/9/2006 20:06:59.242001	KEMAUSETH	1/13/2015 14:33:24.144	N
1192	Mine Trust	Mine Reclamation Trust Fund	51211	O	N	added per ch. 137, SLA 2004 (Governor bill)	68515	Y	37.14.800	12140                         		7/9/2006 20:06:59.242001	BALARSON	6/21/2013 16:10:59.644	N
1042	Jud Retire	Judicial Retirement System	51125	O	N		68515	Y	22.25.048	35025                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:29:28.003	N
1044	Debt Ret	AK Debt Retirement Fund	51391	O	N	SLA1991, Ch87, Sec2	68515	Y	37.15.011	11138                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:30:32.269	N
1046	Stdnt Loan	Student Revolving Loan Fund	51140	O	N	5/2012 DOF said this was not an active fund. DOR fund source to be changed in FY16 to 1106. This is now inactive in both OMB and DLF budget systems - cko 10-20-14.	68515	Y				7/9/2006 20:06:59.242001	BALARSON	6/19/2015 14:53:09.541	N
1048	Univ Rcpt	University Restricted Receipts	51150	D	N		51150	Y				7/9/2006 20:06:59.242001			N
1050	PFD Fund	Permanent Fund Dividend Fund	51160	O	N	LFD changed from DGF to Other 1/2017.	68515	Y	43.23.045	33020                         		7/9/2006 20:06:59.242001	KEMAUSETH	1/26/2017 14:12:40.563	N
1057	Small Bus	Small Business Loan Fund	51180	D	N		68515	N	45.95.060	21607                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:39:55.394	N
1058	Trsm Loan	Tourism Revolving Loan Fund	51185	D	N	AKSAS Fund # 21609.  Div of Finance inactivated  Nov 1996.	68515	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:17:52.692	N
1059	Corr. Ind.	Correctional Industries Fund	51190	D	N		68515	N		22654                         		7/9/2006 20:06:59.242001	KEMAUSETH	9/6/2012 15:06:04.368	N
1060	OF(Pre'84)	Other Funds (Pre-FY '84 Only)	0    	O	N	per DOA/finance, flag as inactive, use zero only. 6/19/00 jm	0    	N				7/9/2006 20:06:59.242001			N
1061	CIP Rcpts	Capital Improvement Project Receipts	51200	O	N		51200	Y				7/9/2006 20:06:59.242001			N
1063	NPR Fund	National Petroleum Reserve Fund	51210	F	N		68515	Y	37.05.530	12131                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:44:19.519	N
9003	Unkn DGF	Unknown DGF Fund Source	0    	D	N		0    	Y			LENA	10/5/2010 14:57:21.785	LENA	10/5/2010 15:21:29.035	N
1067	Mining RLF	Mining Revolving Loan Fund	51230	D	N	Reactivated 2/10/18 to appropriate unexpended balance.	68515	Y	27.09.010	21625                         		7/9/2006 20:06:59.242001	NASTEININGER	2/10/2018 16:05:30.525	N
1068	Child Care	Child Care Revolving Loan Fund	51235	D	N	AKSAS Fund # 21612	68515	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:18:56.317	N
1069	Hist Dist	Historical District Revolving Loan Fund	51240	D	N		68515	N	45.98.010	21614                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:48:26.862	N
1070	Fish En Ln	Fisheries Enhancement Revolving Loan Fund	51245	D	N		68515	Y	16.10.505	21615                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:48:44.191	N
1071	Alt Energy	Alternative Energy Revolving Loan Fund	51250	D	N	Reactivated 2/10/18 to appropriate unexpended balance.	68515	Y	45.88.010	21619                         		7/9/2006 20:06:59.242001	NASTEININGER	2/10/2018 16:13:25.308	N
1072	Res Energy	Residential Energy Conservation Loan Fund	51255	D	N		68515	N	45.89.010	21623                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:49:26.128	N
1074	Bulk Fuel	Bulk Fuel Revolving Loan Fund	51270	D	N	Ch46 SLA12 (HB196) amends the Bulk Fuel Revolving Loan Fund to include the bulk fuel loan account and the bulk fuel bridge loan account to administer the bulk fuel loan and bulk fuel bridge loan programs. (AS 42.45.460 & 42.45.470). AKSAS fund 21626 & 21627.	68515	Y	42.45.250	21626                         		7/9/2006 20:06:59.242001	CKOSULLIVAN	4/14/2014 12:40:52.847	N
1076	Marine Hwy	Marine Highway System Fund	51380	D	N		68515	Y	19.65.060	12135                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:52:21.722	N
1078	Sr Housing	Senior Housing Loan Fund	51382	D	N	AKSAS Fund # 13506. Finance inactivated fund 2/92.	68515	N				7/9/2006 20:06:59.242001			N
1081	Info Svc	Information Services Fund	51385	O	N		68515	Y	44.21.045	22500                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:56:24.112	N
1082	Vessel Rep	Vessel Replacement Fund	51386	D	N	AKSAS Fund # 11137. Changed from UGF to DGF to match LFD 4/13/13. KM	68515	Y	AS 37.05.550	11137                         		7/9/2006 20:06:59.242001	KEMAUSETH	4/13/2013 11:29:46.669	N
1086	SE Energy	Southeast Energy Fund	51401	D	N		68515	Y	42.45.040	11148                         		7/9/2006 20:06:59.242001	BWFECHTER	11/10/2017 11:33:44.416	N
1088	UnInc Mtch	Unincorporated Matching Grant Fund	68515	D	N	Default and Alternate codes reversed by Joan Brown on 7-2-01 per request of DCED and Finance.	51403	Y	37.06.020	11147                         		7/9/2006 20:06:59.242001	BWFECHTER	11/10/2017 11:29:14.414	N
1089	Power Cost	Power Cost Equalization Fund	51404	D	N		68515	Y	42.45.100	11150                         		7/9/2006 20:06:59.242001	BALARSON	6/20/2013 15:48:02.146	N
1090	4 Dam Pool	Four Dam Pool Transfer Fund	51405	D	N	AKSAS Fund # 11149.	68515	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:21:36.614	N
1091	GF/Desig	General Funds - Designated	51062	O	N	LFD has classified as Other, not DGF 1/2017. KM OMB-previous yrs-Other Program Receipts-O Fnd Group.  Only used in FY1997.	51062	N				7/9/2006 20:06:59.242001	KEMAUSETH	1/26/2017 14:14:37.022	N
1094	MHT Admin	Mental Health Trust Administration	51425	O	Y	OMB created. 	68515	Y	37.14.036	34046                         		7/9/2006 20:06:59.242001	BALARSON	6/20/2013 15:50:52.255	N
1097	AETNA Res	Group Health and Life Benefits Fund (AS 39.30.095)	51424	O	N	Created for SB1005C (2nd special session) - Rev acct only setup if needed.  	68515	Y	39.30.095	11135                         		7/9/2006 20:06:59.242001	BALARSON	6/20/2013 15:51:54.036	N
1098	ChildTrErn	Children's Trust Earnings	51414	D	N	By WCB 11/8/96; was 1095 by error. 'Earnings' added 12-10-96.	68515	Y	37.14.240	34052                         		7/9/2006 20:06:59.242001	BALARSON	6/20/2013 15:52:15.911	N
1099	ChildTrPrn	Children's Trust Principal	51000	D	N	Added by Dan Spencer 12-10-96 - Rev acct only setup if needed	68515	Y	37.14.200	34051                         		7/9/2006 20:06:59.242001	BALARSON	6/20/2013 15:52:28.88	N
1100	ADWF	Alaska Drinking Water Fund	51415	O	N		68515	Y	46.03.036	21652                         		7/9/2006 20:06:59.242001	BALARSON	6/20/2013 15:52:58.193	N
1103	AHFC Rcpts	Alaska Housing Finance Corporation Receipts	51407	O	N	Transferred from Leg. Fin. 5/28/97	51407	Y				7/9/2006 20:06:59.242001			N
-1	Unknown GF	Unknown GF	0    	O	N		0    	N				7/9/2006 20:06:59.242001	WCBELKNAP	11/4/2014 15:24:08.762	N
1102	AIDEA Rcpt	Alaska Industrial Development & Export Authority Receipts	51406	O	N	Transferred from Leg. Fin. 5/28/97	51406	Y				7/9/2006 20:06:59.242001			N
1104	MBB Rcpts	Alaska Municipal Bond Bank Receipts	51417	O	N	Transferred from Leg. Fin. 5/28/97	51417	Y				7/9/2006 20:06:59.242001	WBELKNAP	7/12/2010 14:54:08.081	N
1105	PFund Rcpt	Alaska Permanent Fund Corporation Receipts	51373	O	N	Transferred from Leg. Fin. 5/28/97; update by OMB, 6/19/00 jm.  AKSAS Fund # 34030 for CAFR reporting only.	51373	Y				7/9/2006 20:06:59.242001			N
1107	AEA Rcpts	Alaska Energy Authority Corporate Receipts	51418	O	N	Transferred from Leg. Fin. 5/28/97	51418	Y				7/9/2006 20:06:59.242001			N
1108	Stat Desig	Statutory Designated Program Receipts	51063	O	N	Transferred from Leg. Fin. 5/28/97	51063	Y				7/9/2006 20:06:59.242001			N
1110	APUC Rcpts	Alaska Public Utility Commission	51066	D	N	Transferred from Leg. Fin. 5/28/97; update by OMB, edit to account alt. number 6/19/00 jm	51066	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:23:04.457	N
1092	MHTAAR	Mental Health Trust Authority Authorized Receipts	51410	O	Y	OMB-short name-MHTrust In; Mental Health Trust Settlement In. 	68515	Y	37.14.036	34046                         		7/9/2006 20:06:59.242001	BALARSON	6/20/2013 15:49:05.63	N
9999	No specif.	No specific fund source	0    	O	N	ABS setup to load conference committee change records due to fund source / line item format.	0    	Y				7/9/2006 20:06:59.242001			N
1114	EVOS Rest	Exxon Valdez Oil Spill Restoration Fund	51413	O	N	updated 6/17/98 by OMB, JM.	68515	Y		11140                         		7/9/2006 20:06:59.242001	KEMAUSETH	9/6/2012 15:09:22.233	N
1115	InT/BuEnIn	International Trade and Business Endowment Income	51422	D	N	"Updated by OMB, RW, 8/19/98; implement AS 37.17.440 and 
SLA98, Chapter 139, Sec. 10. AKSAS Fund # 34065.  Inactivated FY05."	51422	N		                              		7/9/2006 20:06:59.242001	TNARVAEZ1	9/25/2012 14:12:45.856	N
1119	Tobac Setl	Tobacco Settlement	65045	U	N	"Alaska's share of the multi-state settlement with tobacco companies
Changed to UGF 11-28-11. cko."	65045	Y				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/28/2011 18:54:57.433	N
1121	MultiFunds	Multiple Funds pre FY94	0    	O	N	Leg, Finance use only. Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm	0    	N				7/9/2006 20:06:59.242001			N
1122	LIC/PER/CT	License/Permits/Certification Pre 89	0    	D	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0    	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:29:37.629	N
1123	Care/Trmnt	Care and Treatment - FY88	0    	D	N	"Leg. Finance use only
entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0    	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:30:49.051	N
1125	APA Plant	APA Plant Maintenance & Operation - FY88	0    	D	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0    	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:31:43.817	N
1129	Legal Recp	Legal Settlement Receipts - FY88	0    	U	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0    	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:32:57.489	N
1130	Handcap Fn	Handicapped Vendor Facility Fund - FY88	0    	F	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0    	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:33:13.614	N
1049	Trng Bldg	Training and Building Fund	51155	D	N	Dedicated fund since 1955.	68515	Y	23.20.130	12121                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:31:59.519	N
1174	UA I/A	UA Intra-Agency Transfers	59470	O	N	Added 4-5-02 for UA.	59470	Y				7/9/2006 20:06:59.242001			N
1132	Publ/Other	Publications and Other Services - FY88	0    	D	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0    	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:33:52.957	N
1096	ILT Fund	Investment Loss Trust Fund (DO NOT USE)	0    	U	N	do not use; update AKSAS field to 'none' 1/7/99 JM; changed to zero; use #1053. 6/29/2000	0    	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:21:55.52	N
1017	Ben Sys	Benefits Systems Receipts	51390	O	N		68515	Y				7/9/2006 20:06:59.242001			N
1035	Vet Loan	Veterans Revolving Loan Fund	51095	D	N		68515	Y	26.15.090	21605                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:21:31.409	N
1045	Nat Guard	National Guard & Naval Militia Retirement System	51135	O	N		68515	Y	26.05.222	35030                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:31:23.347	N
1055	IA/OIL HAZ	Interagency/Oil & Hazardous Waste	51395	O	N		51395	Y				7/9/2006 20:06:59.242001	KEMAUSETH	9/25/2012 10:33:47.495	N
1064	House Loan	Housing Assistance Loan Fund	51215	D	N	AKSAS Fund # 21635. Finance inactivated 6/95.	68515	N				7/9/2006 20:06:59.242001			N
1073	Pwr Dv RLF	Power Development Revolving Loan Fund	51260	D	N	AKSAS Fund # 21626. Finance inactivated fund 6/95.	68515	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:19:28.551	N
1084	Alyeska	Alyeska Settlement Fund	51399	O	N		68515	Y		33080                         		7/9/2006 20:06:59.242001	BALARSON	6/19/2013 15:58:39.112	N
1095	Med Facil	Medical Facilities Authority Fund	0    	O	N	probably a one time - Rev acct only setup if needed	0    	N				7/9/2006 20:06:59.242001			N
1113	AHFC Bonds	Alaska Housing Finance Corporation Bonds	51419	O	N	updated 6/17/98 by OMB, JM. rec'd from DOA the AKSAS#.	51419	Y				7/9/2006 20:06:59.242001			N
1118	Pioneers' 	Pioneers' Homes Receipts	51123	D	N	"New fund source to reflect legislative proposal.
rec'd account code from DOA Finance 6/9/99."	51123	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:23:27.348	N
1224	MariculRLF	Mariculture Revolving Loan Fund	51507	D	N	SLA2012 HB121 - AKSAS 51507	68515	Y	16.10.900	21634                         	KEELLIOTT	5/4/2012 08:36:43.636	KEELLIOTT	5/8/2012 14:25:50.335	N
1135	AMHS Dup	Marine Highway Duplicated Expenditures	51380	D	N	To match Leg Finance code added for recasting by Joan Brown 11/10/99.  AKSAS Fund # 12135.	68515	N				7/9/2006 20:06:59.242001	CKOSULLIVAN	11/29/2011 10:37:33.832	N
1137	DComp IA	Inactive-Deferred Compensation Inter Agency Receipts	0    	O	N	"To match Leg Finance code added for recasting by Joan Brown 11/10/99
Leg Finance and OMB agreed not to use during 2000 session."	0    	N				7/9/2006 20:06:59.242001			N
1229	AGDC-ISP	AK Gasline Development Corporation In-state Pipeline Fund	68515	O	N	"3/14: change name from In-State Natural Gas Pipleline Fund to AGDC In-state Pipleline Fund to match LFD KM
HB4 SLA2013
6/20/13 added unrestricted as default 68515 per DOF
subfund of AK Gasline Development Corp"	68515	Y	AS 31.25.100	34077                         	KEELLIOTT	5/7/2013 10:16:21.205	KEMAUSETH	9/12/2014 11:08:36.804	N
